School,ninety,ninetyone,ninetytwo,ninetythree,ninetyfour,ninetyfive,ninetysix,ninetyseven,ninetyeight,ninetynine,zerozero,zeroone,zerotwo,zerothree,zerofour,zerofive,zerosix,zeroseven
Princeton,2,4,4,2,2,2,2,2,1,1,4,1,1,1,1,1,1,1
Harvard,3,1,1,1,1,1,1,3,1,1,2,2,2,2,1,1,1,2
Yale,1,3,2,3,3,3,2,1,3,1,4,2,2,2,3,3,3,3
Stanford,6,2,3,4,6,5,4,6,5,4,6,6,5,4,5,5,5,4
Cal Tech,4,5,4,5,5,7,7,9,9,9,1,4,4,4,5,8,7,4
MIT,7,6,6,5,4,4,5,5,6,4,3,5,5,4,4,5,7,4
Duke,5,7,7,7,7,6,6,4,3,6,7,8,8,4,5,5,5,8
Dartmouth,8,8,8,7,8,8,7,7,7,10,11,9,9,9,9,9,9,9
